time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2020-02-17,-8.3,-8.9,-5.3,3.8,297.0,6.5,,1025.0
2020-02-18,-6.0,-13.4,-4.7,1.0,234.0,11.0,,1023.5
2020-02-19,-0.8,-6.8,1.1,0.8,231.0,11.5,,1015.2
2020-02-20,-1.3,-3.7,0.7,1.0,229.0,11.4,,1018.9
2020-02-21,-3.2,-5.1,-0.8,0.0,239.0,5.9,,1019.1
2020-02-22,-1.6,-6.1,1.9,0.0,301.0,4.4,,1022.4
2020-02-23,-9.5,-8.3,-2.6,0.0,348.0,3.4,,1028.9
2020-02-24,-10.4,-20.6,-4.6,0.5,89.0,4.8,,1027.8
2020-02-25,-7.7,-10.3,-5.7,0.3,151.0,12.3,,1025.0
2020-02-26,-7.1,-11.0,-4.8,0.0,119.0,21.8,,1015.1
2020-02-27,-1.1,-7.1,1.9,6.4,197.0,13.1,,998.0
2020-02-28,-0.2,-3.8,2.4,0.0,238.0,9.9,,1020.0
2020-02-29,1.5,0.2,2.6,1.0,213.0,8.5,,1025.8
2020-03-01,0.9,-2.0,4.1,0.0,171.0,11.4,,1021.5
2020-03-02,-3.8,-6.4,1.7,0.0,352.0,8.8,,1014.9
2020-03-03,-5.1,-15.8,-0.4,0.0,247.0,7.5,,1022.2
2020-03-04,1.1,-3.0,2.6,0.5,241.0,10.6,,1018.0
2020-03-05,-6.1,-8.3,-2.4,1.0,301.0,11.3,,1017.0
2020-03-06,-13.4,-14.6,-9.4,,325.0,10.7,,1031.4
2020-03-07,-9.2,-24.0,-4.4,0.0,224.0,10.4,,1036.7
2020-03-08,-0.9,-5.4,2.4,0.0,239.0,14.7,,1028.5
2020-03-09,-1.8,-5.1,-1.0,0.5,242.0,13.0,,1021.1
2020-03-10,-4.9,-9.7,-0.1,0.0,271.0,5.2,,1027.6
2020-03-11,-3.4,-9.4,0.8,,192.0,8.8,,1027.1
2020-03-12,0.8,-1.8,4.3,0.0,214.0,8.2,,1024.9
2020-03-13,-0.1,-4.3,4.8,0.0,190.0,8.9,,1019.9
2020-03-14,0.6,-4.0,3.3,2.0,203.0,12.9,,1007.0
2020-03-15,2.2,-0.3,3.7,0.3,197.0,11.3,,1009.3
2020-03-16,0.3,-1.9,4.6,0.5,246.0,12.7,,1015.4
2020-03-17,-0.7,-6.3,0.8,2.0,156.0,13.4,,1015.7
2020-03-18,-2.4,-2.7,0.9,1.0,251.0,12.8,,1018.7
2020-03-19,0.2,-8.5,2.9,0.0,221.0,9.6,,1016.8
2020-03-20,2.1,-0.2,4.2,0.0,223.0,13.2,,1007.0
2020-03-21,1.1,0.3,2.7,8.9,188.0,10.6,,999.4
2020-03-22,-5.7,-7.5,1.5,4.3,272.0,15.1,,1008.3
2020-03-23,-8.4,-15.6,-2.8,0.0,15.0,5.2,,1033.4
2020-03-24,-6.3,-15.4,-1.1,0.0,280.0,4.4,,1041.8
2020-03-25,-3.4,-10.7,0.6,0.0,231.0,8.3,,1041.9
2020-03-26,-0.2,-6.7,0.9,,212.0,11.4,,1031.5
2020-03-27,1.1,-1.1,4.9,2.0,251.0,11.3,,1016.1
2020-03-28,-0.2,-2.9,3.7,0.0,285.0,8.6,,1020.7
2020-03-29,1.2,-4.8,4.9,0.0,224.0,8.6,,1023.4
2020-03-30,3.2,-0.8,6.7,0.0,215.0,9.3,,1023.6
2020-03-31,4.5,0.9,7.9,0.0,196.0,6.5,,1022.3
2020-04-01,6.2,0.2,11.0,0.0,157.0,10.8,,1014.5
2020-04-02,6.7,4.6,10.3,0.0,194.0,12.9,,1005.2
2020-04-03,2.7,-1.2,7.3,0.0,238.0,8.8,,1023.1
2020-04-04,5.4,-3.7,9.9,0.0,128.0,10.4,,1030.4
2020-04-05,8.4,2.0,14.0,0.0,136.0,18.2,,1017.4
2020-04-06,6.6,4.0,10.4,,216.0,8.2,,1012.3
2020-04-07,5.9,4.2,11.5,0.5,158.0,19.0,,1002.0
2020-04-08,-0.1,-1.9,3.6,,224.0,23.5,,1006.5
2020-04-09,0.4,-3.5,4.2,,222.0,11.2,,1021.8
2020-04-10,3.3,-2.2,8.2,0.5,193.0,7.7,,1026.5
2020-04-11,8.3,2.3,15.7,0.0,201.0,6.1,,1024.8
2020-04-12,10.0,1.0,14.6,,121.0,12.1,,1020.2
2020-04-13,9.9,5.9,14.5,,140.0,11.0,,1012.3
2020-04-14,7.3,-0.3,15.6,,198.0,6.2,,1015.3
2020-04-15,3.4,0.6,8.0,2.5,237.0,8.6,,1017.4
2020-04-16,9.3,0.8,17.1,,226.0,6.6,,1020.4
2020-04-17,14.0,5.8,18.9,,183.0,9.3,,1019.4
2020-04-18,16.4,9.6,21.1,,174.0,13.4,,1016.3
